question,reponse, mediation_text
Twitter/X contient une messagerie instantanée.,TRUE,
Snapchat partage la localisation en direct.,TRUE,
Roblox permet de dépenser de l'argent réel pour gagner de l'argent virtuel.,TRUE,
Stumble Guy est payant.,FALSE,
Tinkle est un réseau social de partage de musiques.,FALSE,
Google est un réseau social.,FALSE,
Regarder trop longtemps les écrans peut donner mal à la tête et aux yeux. ,TRUE,
Roblox gagne de l’argent grâce à l’achat de Robux par les utilisateurs.,TRUE,
Plus de la moitié des 15-17 ans affirment être souvent confrontés à des images choquantes sur les réseaux sociaux.,TRUE,
Il est possible de regarder des tik tok sur la télévision.,TRUE,
Plus de la moitié des internautes en France affirment avoir déjà vu des fake news.,TRUE,
Environ 50% des jeunes ignorent que les contenus qu'ils voient sur les réseaux sont personnalisés grâce à leurs données personnelles.,TRUE,
Une loi européenne interdit les publicités ciblées à destination des mineur·e·s.,TRUE,
"La dopamine est une molécule produite par le cerveau qui crée une sensation de plaisir, motivation, récompense.",TRUE,
Tik Tok est le réseau social le plus populaire chez les français de moins de 35 ans.,FALSE,
Youtube est le réseau social le plus utilisé en France. ,FALSE,
Snapchat et Instagram appartiennent à la même compagnie. ,FALSE,
Tik Tok est majoritairement utilisé par des hommes.,FALSE,
Plus de la motié des ados utilisent Tik Tok. ,FALSE,
Une fuite de documents a révélé qu'Instagram est au courant de l'impact nocif sur la santé mentale et n'a rien fait pour le minimiser,TRUE,
Les contenus sur les réseaux sociaux sont personnalisés en fonction des données des utilisateurs.,TRUE,
Il existe une appli pour enlever les Reels de son Instagram,TRUE,
Youtube est une application payante,FALSE,
Instagram contient une messagerie,TRUE,
Pronote est un jeu vidéo ,FALSE,
On peut jouer à des jeux vidéo sur Discord ,TRUE,
Spotify est une application de montage vidéo,FALSE,
Google peut être utilisé sans internet,FALSE,
Google Maps sert à acheter des voitures,FALSE,
Les gens qui font des vidéos Youtube sont rémunérés en fonction du temps de la vidéo ,FALSE,
