question,response_1,response_2,response_3,response_4,correct_response,response_correcte_2,mediation_text
"Parmi les réponses suivantes, quelle application permet d’envoyer un selfie ?",Youtube,Snapchat,Twitch,Selfish,2,,
Quel est le nouveau nom de Twitter ?,Musk,TWT,X,Bleuet,3,,
De quelle couleur sont les likes sur Youtube ?,Vert,Bleu,Arc-En-Ciel,Noir / Blanc,4,,
"Quelle application est une plateforme de distribution de contenu en ligne, surtout de jeux vidéo ?",Gameshare,Steam,Motor,PartageGame,2,,
Qu’est-ce qu’un influenceur ?,Un message publicitaire très largement diffusé,Une personne dont l'avis compte car il/elle anime une communauté ,Une personne qui pirate les comptes Facebook,Un homme politique,2,,
Comment appelle-t-on une fausse information diffusée volontairement sur les réseaux ?,Breaking News,Good News,Fake News,Untrue News,3,,"Une fake news est une fausse information diffusée volontairement et qui ressemble à une information authentique. Les fake news peuvent être réalisées pour des raisons idéologiques (campagne de désinformation), politiques (déstabiliser un adversaire lors d’une élection) ou encore financières (arnaques sur internet pour voler des données personnelles par exemple). La viralité des réseaux sociaux favorise le partage non-vérifié de fake news."
Qui/quoi finance les réseaux sociaux ? ,Les créateurs de ces plateformes,Des entreprises privées,Les comptes premium payants,Les impôts,2,,"En 2022, sur les 116 milliards de dollars gagnés par Facebook, Instagram et Whatsapp, 98% viennent des revenus publicitaires  : c'est-à-dire de l'argent payé par les entreprises pour avoir accès à nos données personnelles et à notre attention. "
Quels contenus les algorithmes de recommandation mettent le plus en avant ?,Les tweets d'Elon Musk,Les contenus créatifs et originaux,"Ce qui va nous plaire et/ou qui correspond à notre ""profil""",Les contenus journalistiques,3,,"Un algorithme de recommandation est une suite de calculs qui sont là pour résoudre un problème :[i] parmi la masse de contenus postés sur les réseaux, lesquels faut-il montrer en premier ? [/i]L'algorithme de recommendation nous fait voir en priorité les contenus les plus revisionnés, ceux qui sont [b]similaires[/b] à des contenus que nous avons déjà aimé, ou ceux qui suivent les tendances ([i]trends[/i]). "
"Sur Youtube, une vidéo réalisée grâce à l’IA a le droit d'être monétisée si...","Il y a aussi un travail humain (montage, écriture)",Elle est générée à 100% par l’IA ,Elle imite à l'identique d'autres contenus,Elle est produite automatiquement à la chaîne,1,,"En juillet 2025, Youtube a interdit aux utilisateurs de gagner de l’argent grâce à des vidéos entièrement générées grâce à l’intelligence artificielle. Cette nouvelle règle vise à lutter contre les milliers de vidéos créées automatiquement pour gagner de l’argent."
Sora 2 et Vibes sont des réseaux sociaux où l'on voit uniquement des contenus ,Éducatifs,Humoristiques,Informatifs,Générés par l'IA,4,,"Ces réseaux sociaux ne sont pas encore disponibles en France. Pour optimiser au maximum l’algorithme de Sora, l’application se base sur l’historique de ChatGPT."
Un deepfake est un contenu généré numériquement qui est...,truqué et imite la réalité. ,produit par ChatGPT.,une oeuvre d'art. ,posté sur Youtube.,1,,"Un deepfake permet de modifier le visage d'une personne sur une image/vidéo. La plupart des deepfakes mettent en scène des personnes [b]non consentantes[/b] dans des situations gênantes, pour nuire à leur réputation ou les ridiculiser."
À partir de quel âge peut-on s’inscrire sur les réseaux sociaux ?,8 ans,10 ans,13 ans,16 ans,3,,"Malgré l’interdiction pour les moins de 13 ans, beaucoup d’enfants plus jeunes contournent cette règle et ont accès aux réseaux sociaux !"
“L’IA slop” désigne des images/vidéos produites avec l'IA qui sont...,Des découvertes scientifiques.,Des trucages qui imitent la réalité.,"Des contenus absurdes, produits à la chaîne.",Des messages politiques. ,3,,"L’expression d’IA slop a une connotation négative, proche du terme “spam”. Ces contenus privilégient la quantité plutôt que la qualité : même s'ils n'attirent quasiment personne à cause de leur mauvaise qualité, ces contenus peuvent quand même créer du profit car on peut en produire à la chaîne sans aucun effort. La création d'IA est [i][b]intégralement automatisée[/i][/b]. "
Comment s’appelle la monnaie virtuelle sur Roblox ?,Roblox Dollars,Robux,Bitcoins,Robcoins,2,,Le Robux est la monnaie virtuelle du jeu Roblox : il permet d’acheter des skins (accessoires ou vêtements personnalisés pour les personnages du jeu) ou de débloquer des versions plus avancées de jeux sur la plateforme. On peut acheter des Robux avec de la vraie monnaie ou bien en gagner à l’intérieur de la plateforme (grâce à des créations de jeux ou en vendant des biens).
À quel âge correspond la “majorité numérique” dans la loi française ?,13 ans,14 ans,15 ans,18 ans,3,,"Une loi de 2023 fixe la majorité numérique pour s’inscrire sur les réseaux sociaux à 15 ans. Cependant, cette loi n’est pas appliquée car elle n’a pas été validée par la Commission Européenne."
ATTENTION : trouvez la réponse FAUSSE ! Il est possible de vérifier son âge sur Instagram grâce à...,Une pièce d’identité,Une selfie vidéo,Des témoignages d’amis,Un appel avec un employé d’Instagram,4,,
ATTENTION : trouvez la réponse FAUSSE ! Les publicités sur les réseaux sont personnalisées grâce à...,à notre activité sur le web,au micro de notre téléphone,aux contenus que nos proches regardent,à notre géolocalisation,2,,"Notre micro ne peut pas nous enregistrer. Par contre, nos données de géolocalisation permettent de savoir avec quelles personnes nous sommes proches (par exemple si nous sommes connectés à la même wifi) et de nous proposer des contenus similaires. C'est pourquoi nous pouvons avoir des publicités concernant des choses dont nous avons discuté avec un proche sans jamais avoir fait des recherches sur notre téléphone."
ATTENTION : trouvez la réponse FAUSSE ! On peut repérer une fake news en vérifiant... ,L'auteur de l'article.,Les sources des infos.,Le nombre de likes.,La nature du site/compte.,3,,
